ENSEMBL_gene,HGNC_symbol,a,b,HGNC_symbol_unique
ENSMUSG00000103903,Rps2-ps2,2,881,Rps2-ps2-103903
ENSMUSG00000103557,Gm38216,2,1214,Gm38216-103557
ENSMUSG00000025909,Sntg1,17,10908,Sntg1-25909
ENSMUSG00000102647,Gm38024,2,2532,Gm38024-102647
ENSMUSG00000086235,Gm16284,2,400,Gm16284-86235
ENSMUSG00000102253,Gm38259,2,3534,Gm38259-102253
ENSMUSG00002074990,Gm54704,1,110,Gm54704-2074990
ENSMUSG00000103884,Gm37005,2,1164,Gm37005-103884
ENSMUSG00000084353,Gm15452,2,240,Gm15452-84353
ENSMUSG00000103933,Gm36964,2,198,Gm36964-103933
ENSMUSG00002075967,Gm54706,1,110,Gm54706-2075967
ENSMUSG00000086195,Gm6152,2,340,Gm6152-86195
ENSMUSG00000104504,Gm7445,2,340,Gm7445-104504
ENSMUSG00000066693,Gm7493,3,626,Gm7493-66693
ENSMUSG00000102316,Gm37629,2,1050,Gm37629-102316
ENSMUSG00000103819,Gm38008,2,518,Gm38008-103819
ENSMUSG00000102871,Gm37143,2,3259,Gm37143-102871
ENSMUSG00000101571,Gm6187,3,960,Gm6187-101571
ENSMUSG00000104428,Gm18299,2,636,Gm18299-104428
ENSMUSG00000102272,Gm7512,2,1170,Gm7512-102272
ENSMUSG00000065625,Gm24765,3,103,Gm24765-65625
ENSMUSG00000103411,Gm18300,2,1406,Gm18300-103411
ENSMUSG00000061024,Rrs1,9,2048,Rrs1-61024
ENSMUSG00000025911,Adhfe1,15,3780,Adhfe1-25911
ENSMUSG00000079671,2610203C22Rik,10,5268,2610203C22Rik-79671
ENSMUSG00000081441,Gm6161,4,1102,Gm6161-81441
ENSMUSG00000067879,Vxn,4,3256,Vxn-67879
ENSMUSG00000099827,Gm29520,2,1067,Gm29520-99827
ENSMUSG00000025912,Mybl1,17,5402,Mybl1-25912
ENSMUSG00000045210,Vcpip1,9,9749,Vcpip1-45210
ENSMUSG00000097893,1700034P13Rik,10,3202,1700034P13Rik-97893
ENSMUSG00000025915,Sgk3,15,14311,Sgk3-25915
ENSMUSG00000046334,Gm6195,5,357,Gm6195-46334
ENSMUSG00002075801,Gm54812,1,105,Gm54812-2075801
ENSMUSG00000098234,Snhg6,9,4219,Snhg6-98234
ENSMUSG00000046101,Mcmdc2,17,5916,Mcmdc2-46101
ENSMUSG00000093178,Snord87,3,87,Snord87-93178
ENSMUSG00000099032,Tcf24,3,4193,Tcf24-99032
ENSMUSG00000104025,E330040D14Rik,2,1374,E330040D14Rik-104025
ENSMUSG00000025916,Ppp1r42,11,1523,Ppp1r42-25916
ENSMUSG00000087199,Gm15818,2,656,Gm15818-87199
ENSMUSG00000121270,Gm57177,1,2075,Gm57177-121270
ENSMUSG00000119658,Gm24674,1,104,Gm24674-119658
ENSMUSG00000025917,Cops5,10,3766,Cops5-25917
ENSMUSG00000056763,Cspp1,17,17553,Cspp1-56763
ENSMUSG00000102356,1700047N06Rik,2,920,1700047N06Rik-102356
ENSMUSG00000067851,Arfgef1,12,11318,Arfgef1-67851
ENSMUSG00002076532,Gm54899,1,240,Gm54899-2076532
ENSMUSG00000102556,Gm37569,2,1722,Gm37569-102556
ENSMUSG00000042501,Cpa6,13,6840,Cpa6-42501
ENSMUSG00000103810,Gm38005,2,2745,Gm38005-103810
ENSMUSG00000083422,Gm15604,2,1456,Gm15604-83422
ENSMUSG00000119312,Gm25253,1,107,Gm25253-119312
ENSMUSG00000081417,Gm15603,2,492,Gm15603-81417
ENSMUSG00000103448,Gm37133,2,1922,Gm37133-103448
ENSMUSG00000100212,Gm5522,2,1242,Gm5522-100212
ENSMUSG00000100648,Gm28659,2,759,Gm28659-100648
ENSMUSG00002076499,Gm54912,1,91,Gm54912-2076499
ENSMUSG00000048960,Prex2,14,16609,Prex2-48960
ENSMUSG00000077318,Gm24173,3,128,Gm24173-77318
ENSMUSG00000101827,Gm28686,2,609,Gm28686-101827
ENSMUSG00000103494,Gm37410,2,3039,Gm37410-103494
ENSMUSG00000057715,A830018L16Rik,14,9183,A830018L16Rik-57715
ENSMUSG00000103825,Gm38178,2,2471,Gm38178-103825
ENSMUSG00000099845,Gm29273,2,262,Gm29273-99845
ENSMUSG00000103561,Gm38069,2,2144,Gm38069-103561
ENSMUSG00000101610,Gm7560,2,873,Gm7560-101610
ENSMUSG00000118923,Gm22633,1,107,Gm22633-118923
ENSMUSG00000098555,Mir6341,3,121,Mir6341-98555
ENSMUSG00000097628,Gm2383,2,807,Gm2383-97628
ENSMUSG00000098163,Gm6216,2,687,Gm6216-98163
ENSMUSG00000097171,Gm17644,2,3200,Gm17644-97171
ENSMUSG00000101314,Gm29663,2,853,Gm29663-101314
ENSMUSG00000016918,Sulf1,16,11294,Sulf1-16918
ENSMUSG00000025938,Slco5a1,17,13137,Slco5a1-25938
ENSMUSG00000104518,Gm37162,2,551,Gm37162-104518
ENSMUSG00000069620,Gm5250,7,321,Gm5250-69620
ENSMUSG00000099498,Gm29283,2,288,Gm29283-99498
ENSMUSG00000042414,Prdm14,8,2564,Prdm14-42414
ENSMUSG00000005886,Ncoa2,15,15642,Ncoa2-5886
ENSMUSG00000103506,Gm38376,2,2253,Gm38376-103506
ENSMUSG00000103495,Gm37409,2,1626,Gm37409-103495
ENSMUSG00002076346,Gm55160,1,82,Gm55160-2076346
ENSMUSG00000102639,Gm38223,2,695,Gm38223-102639
ENSMUSG00000104170,Gm37702,2,1872,Gm37702-104170
ENSMUSG00000087782,Gm23169,3,112,Gm23169-87782
ENSMUSG00000103085,Gm38120,2,4642,Gm38120-103085
ENSMUSG00000102664,Gm38380,2,2248,Gm38380-102664
ENSMUSG00000101476,Gm29570,2,681,Gm29570-101476
ENSMUSG00000101171,Gm7593,2,644,Gm7593-101171
ENSMUSG00000025935,Tram1,11,3162,Tram1-25935
ENSMUSG00000120948,Gm57152,1,423,Gm57152-120948
ENSMUSG00000025937,Lactb2,7,4566,Lactb2-25937
ENSMUSG00000102982,Gm38319,2,1266,Gm38319-102982
ENSMUSG00000067813,Xkr9,4,1926,Xkr9-67813
ENSMUSG00000077368,Gm26273,3,131,Gm26273-77368
ENSMUSG00000097711,Gm5523,2,997,Gm5523-97711
ENSMUSG00000102166,Gm36947,2,2249,Gm36947-102166
ENSMUSG00002075174,Gm55173,1,308,Gm55173-2075174
ENSMUSG00000104209,Gm37400,2,3605,Gm37400-104209
ENSMUSG00000025932,Eya1,15,7808,Eya1-25932
ENSMUSG00002075819,Gm55247,1,100,Gm55247-2075819
ENSMUSG00000102588,Gm37444,2,439,Gm37444-102588
ENSMUSG00000054493,Gm9947,3,3566,Gm9947-54493
ENSMUSG00000025930,Msc,7,2546,Msc-25930
ENSMUSG00000103492,Gm37412,2,4321,Gm37412-103492
ENSMUSG00000081201,Smt3h2-ps4,2,288,Smt3h2-ps4-81201
ENSMUSG00000082193,Rpl5-ps1,2,894,Rpl5-ps1-82193
ENSMUSG00000032769,Trpa1,6,4263,Trpa1-32769
ENSMUSG00000088159,Gm26345,3,120,Gm26345-88159
ENSMUSG00000073737,Gm10566,4,996,Gm10566-73737
ENSMUSG00000092083,Kcnb2,5,15165,Kcnb2-92083
ENSMUSG00000102937,Gm38116,2,1533,Gm38116-102937
ENSMUSG00000104149,Gm37138,2,2089,Gm37138-104149
ENSMUSG00000088829,Gm25227,3,112,Gm25227-88829
ENSMUSG00000077377,Gm25168,3,132,Gm25168-77377
ENSMUSG00000101652,Gm6060,2,251,Gm6060-101652
ENSMUSG00000100814,Gm28669,2,100,Gm28669-100814
ENSMUSG00000025925,Terf1,15,4608,Terf1-25925
ENSMUSG00000104379,Gm37509,2,3169,Gm37509-104379
ENSMUSG00000032719,Sbspon,5,2748,Sbspon-32719
ENSMUSG00002076565,Gm55274,1,303,Gm55274-2076565
ENSMUSG00000100652,Gm7634,2,553,Gm7634-100652
ENSMUSG00000067795,4930444P10Rik,14,2063,4930444P10Rik-67795
ENSMUSG00000043716,Rpl7,14,2687,Rpl7-43716
ENSMUSG00000025921,Rdh10,8,4160,Rdh10-25921
ENSMUSG00000104165,Gm38249,2,2321,Gm38249-104165
ENSMUSG00000100868,Gm28095,2,1515,Gm28095-100868
ENSMUSG00000025920,Stau2,20,6747,Stau2-25920
ENSMUSG00000089982,Gm7568,8,1003,Gm7568-89982
ENSMUSG00000025939,Ube2w,20,4930,Ube2w-25939
ENSMUSG00000102457,Gm38342,2,2980,Gm38342-102457
ENSMUSG00000079658,Eloc,10,3026,Eloc-79658
ENSMUSG00000097744,D030040B21Rik,2,2788,D030040B21Rik-97744
ENSMUSG00000100959,Idi1-ps5,2,683,Idi1-ps5-100959
ENSMUSG00000025940,Tmem70,7,1820,Tmem70-25940
ENSMUSG00000025779,Ly96,11,1021,Ly96-25779
ENSMUSG00000100093,Gm29649,2,419,Gm29649-100093
ENSMUSG00000091020,Gm5828,4,1860,Gm5828-91020
ENSMUSG00000101640,Gm28376,2,176,Gm28376-101640
ENSMUSG00000104133,4921511E07Rik,2,827,4921511E07Rik-104133
ENSMUSG00000042686,Jph1,6,4998,Jph1-42686
ENSMUSG00000100110,Gm28783,2,359,Gm28783-100110
ENSMUSG00000025777,Gdap1,9,7731,Gdap1-25777
ENSMUSG00000099899,Gm28784,2,1011,Gm28784-99899
ENSMUSG00000100272,Gm28785,2,379,Gm28785-100272
ENSMUSG00000100398,Gm5251,2,472,Gm5251-100398
ENSMUSG00000101589,Rbm6-ps1,2,2870,Rbm6-ps1-101589
ENSMUSG00000102048,Gm6075,2,486,Gm6075-102048
ENSMUSG00000089534,Gm25166,3,111,Gm25166-89534
ENSMUSG00000067780,Pi15,4,6923,Pi15-67780
ENSMUSG00000100053,Gm28154,2,4218,Gm28154-100053
ENSMUSG00000085125,Gm16070,8,8345,Gm16070-85125
ENSMUSG00000025776,Crispld1,14,4515,Crispld1-25776
ENSMUSG00000099895,Gm28153,2,629,Gm28153-99895
ENSMUSG00000100554,Gm7690,2,1399,Gm7690-100554
ENSMUSG00000099473,Gm18775,2,586,Gm18775-99473
ENSMUSG00000099591,Gm17969,2,2557,Gm17969-99591
ENSMUSG00000109887,Gm28756,2,2570,Gm28756-109887
ENSMUSG00000102001,Gm28755,2,199,Gm28755-102001
ENSMUSG00000101717,Gm45784,3,142,Gm45784-101717
ENSMUSG00000025774,Crisp4,15,2737,Crisp4-25774
ENSMUSG00000070977,Defb44-ps,5,219,Defb44-ps-70977
ENSMUSG00000073735,Defb18,2,258,Defb18-73735
ENSMUSG00000067773,Defb41,7,610,Defb41-67773
ENSMUSG00000101685,Gm17837,2,985,Gm17837-101685
ENSMUSG00000101306,Gm5252,2,909,Gm5252-101306
ENSMUSG00000088800,Gm24075,4,72,Gm24075-88800
ENSMUSG00000101644,Gm28343,2,112,Gm28343-101644
ENSMUSG00000099433,Gm28344,2,279,Gm28344-99433
ENSMUSG00000089787,Gm15825,3,918,Gm15825-89787
ENSMUSG00000042596,Tfap2d,8,1954,Tfap2d-42596
ENSMUSG00000100720,Gm10075,2,545,Gm10075-100720
ENSMUSG00000025927,Tfap2b,14,6338,Tfap2b-25927
ENSMUSG00000100538,Gm28340,2,202,Gm28340-100538
ENSMUSG00000101117,Gm28341,2,472,Gm28341-101117
ENSMUSG00000100204,Gm4849,2,2246,Gm4849-100204
ENSMUSG00002076883,Gm55451,1,65,Gm55451-2076883
ENSMUSG00000102597,Gm38382,2,2499,Gm38382-102597
ENSMUSG00000043760,Pkhd1,17,14310,Pkhd1-43760
ENSMUSG00000104095,Gm37315,2,3479,Gm37315-104095
ENSMUSG00000089914,4930486I03Rik,3,788,4930486I03Rik-89914
ENSMUSG00000090142,Gm15795,3,553,Gm15795-90142
ENSMUSG00000070175,Gm24162,3,102,Gm24162-70175
ENSMUSG00000099906,Lincmd1,3,5551,Lincmd1-99906
ENSMUSG00000065559,Mir206,3,73,Mir206-65559
ENSMUSG00000065480,Mir133b,3,119,Mir133b-65480
ENSMUSG00000025929,Il17a,5,1171,Il17a-25929
ENSMUSG00000041872,Il17f,10,2022,Il17f-41872
ENSMUSG00000041859,Mcm3,11,3752,Mcm3-41859
ENSMUSG00000099714,Gm20587,2,1186,Gm20587-99714
ENSMUSG00000102121,Gm28065,2,833,Gm28065-102121
ENSMUSG00000088858,Gm24723,3,132,Gm24723-88858
ENSMUSG00000097934,6720483E21Rik,2,1120,6720483E21Rik-97934
ENSMUSG00000025931,Paqr8,16,5488,Paqr8-25931
ENSMUSG00000077314,Gm24171,3,131,Gm24171-77314
ENSMUSG00000100929,Gm28064,2,858,Gm28064-100929
ENSMUSG00000041809,Efhc1,6,2208,Efhc1-41809
ENSMUSG00000041779,Tram2,6,6661,Tram2-41779
ENSMUSG00000099971,Gm28287,2,546,Gm28287-99971
ENSMUSG00000100819,Gm2693,2,571,Gm2693-100819
ENSMUSG00000025933,Tmem14a,16,1351,Tmem14a-25933
ENSMUSG00000102633,Gm38224,2,2100,Gm38224-102633
ENSMUSG00000025934,Gsta3,16,4344,Gsta3-25934
ENSMUSG00000099343,Gm28836,2,633,Gm28836-99343
ENSMUSG00000096375,Gm7094,3,366,Gm7094-96375
ENSMUSG00000121505,Gm71569,1,3214,Gm71569-121505
ENSMUSG00000025936,Gm4956,18,672,Gm4956-25936
ENSMUSG00000093963,Gm21909,2,439,Gm21909-93963
ENSMUSG00000067750,Khdc1a,4,1987,Khdc1a-67750
ENSMUSG00000086194,Gm16329,2,371,Gm16329-86194
ENSMUSG00000094436,Gm16327,2,228,Gm16327-94436
ENSMUSG00000041722,Khdc1c,8,1946,Khdc1c-41722
ENSMUSG00000085507,Gm2709,2,350,Gm2709-85507
ENSMUSG00000094926,Gm16533,2,228,Gm16533-94926
ENSMUSG00000085079,Khdc1b,4,2236,Khdc1b-85079
ENSMUSG00000085679,Gm16328,3,196,Gm16328-85679
ENSMUSG00000028033,Kcnq5,17,7689,Kcnq5-28033
ENSMUSG00000104138,Gm36949,2,2327,Gm36949-104138
ENSMUSG00000082935,Gm7658,4,1124,Gm7658-82935
ENSMUSG00000103748,Gm38243,2,1567,Gm38243-103748
ENSMUSG00000099692,Gm5696,2,552,Gm5696-99692
ENSMUSG00000100418,Gm28239,2,447,Gm28239-100418
ENSMUSG00000041670,Rims1,20,8103,Rims1-41670
ENSMUSG00000097642,Gm26866,2,802,Gm26866-97642
ENSMUSG00000101468,Gm7761,2,921,Gm7761-101468
ENSMUSG00000101227,Gm29506,2,2078,Gm29506-101227
ENSMUSG00000073730,Ppp1r14bl,3,1781,Ppp1r14bl-73730
ENSMUSG00000089553,Gm24176,3,121,Gm24176-89553
ENSMUSG00000102766,Gm6420,2,723,Gm6420-102766
ENSMUSG00000065405,Mir30a,5,71,Mir30a-65405
ENSMUSG00000097970,Gm27028,2,399,Gm27028-97970
ENSMUSG00000065567,Mir30c-2,3,84,Mir30c-2-65567
ENSMUSG00000100775,Gm29107,2,347,Gm29107-100775
ENSMUSG00000101226,Gm20954,2,644,Gm20954-101226
ENSMUSG00000026158,Ogfrl1,12,8109,Ogfrl1-26158
ENSMUSG00000097920,Gm7784,2,989,Gm7784-97920
ENSMUSG00000099503,Gm28822,2,778,Gm28822-99503
ENSMUSG00000026156,B3gat2,9,6203,B3gat2-26156
ENSMUSG00000026155,Smap1,14,3575,Smap1-26155
ENSMUSG00000026154,Sdhaf4,5,874,Sdhaf4-26154
ENSMUSG00000102495,Gm26524,2,390,Gm26524-102495
ENSMUSG00000026153,Fam135a,16,7773,Fam135a-26153
ENSMUSG00000102398,Gm37580,2,2800,Gm37580-102398
ENSMUSG00000097670,Gm26607,2,867,Gm26607-97670
ENSMUSG00000026147,Col9a1,17,5068,Col9a1-26147
ENSMUSG00000026141,Col19a1,14,6887,Col19a1-26141
ENSMUSG00000077463,Gm26418,3,137,Gm26418-77463
ENSMUSG00000099997,Tubb4b-ps2,2,1337,Tubb4b-ps2-99997
ENSMUSG00000100131,Gm28439,2,876,Gm28439-100131
ENSMUSG00000067736,Gm10222,3,294,Gm10222-67736
ENSMUSG00000101939,Gm28438,2,345,Gm28438-101939
ENSMUSG00000101111,Gm28437,2,783,Gm28437-101111
ENSMUSG00000100862,Atp6-ps,2,678,Atp6-ps-100862
ENSMUSG00000102070,Gm28661,2,681,Gm28661-102070
ENSMUSG00000101249,Gm29216,2,492,Gm29216-101249
ENSMUSG00000073725,Lmbrd1,9,5960,Lmbrd1-73725
ENSMUSG00000100808,Gm28594,2,661,Gm28594-100808
ENSMUSG00000100483,Gm28237,2,1216,Gm28237-100483
ENSMUSG00000100450,Gm9443,2,816,Gm9443-100450
ENSMUSG00000099392,Gm29414,2,448,Gm29414-99392
ENSMUSG00000033569,Adgrb3,18,18559,Adgrb3-33569
ENSMUSG00000080849,Gm15702,2,444,Gm15702-80849
ENSMUSG00000104257,Gm20172,2,1551,Gm20172-104257
ENSMUSG00000119153,Gm22260,1,107,Gm22260-119153
ENSMUSG00000102296,Gm37543,2,1031,Gm37543-102296
ENSMUSG00000103209,Gm37331,2,3375,Gm37331-103209
ENSMUSG00000104027,Gm37211,2,3433,Gm37211-104027
ENSMUSG00000102407,Gm37862,2,2533,Gm37862-102407
ENSMUSG00000103214,Gm38286,2,3105,Gm38286-103214
ENSMUSG00000104100,Gm37880,2,3257,Gm37880-104100
ENSMUSG00000084740,Gm25294,3,104,Gm25294-84740
ENSMUSG00000103889,Gm37011,2,2935,Gm37011-103889
ENSMUSG00000101301,Gm29214,2,570,Gm29214-101301
ENSMUSG00000104221,Gm37051,2,2943,Gm37051-104221
ENSMUSG00000102250,Gm38260,2,3995,Gm38260-102250
ENSMUSG00000102317,Gm37628,2,5440,Gm37628-102317
ENSMUSG00000103563,8030445P17Rik,2,2741,8030445P17Rik-103563
ENSMUSG00000102465,Gm38198,2,3581,Gm38198-102465
ENSMUSG00000102659,Gm37077,2,3691,Gm37077-102659
ENSMUSG00000103924,Gm37895,2,4550,Gm37895-103924
ENSMUSG00000104132,Gm36952,2,3625,Gm36952-104132
ENSMUSG00000102747,Gm37602,2,3310,Gm37602-102747
ENSMUSG00000102386,2900022M07Rik,2,1017,2900022M07Rik-102386
ENSMUSG00000103004,2900002M20Rik,2,330,2900002M20Rik-103004
ENSMUSG00000104516,Gm9884,2,1222,Gm9884-104516
ENSMUSG00000101618,Gm18443,2,556,Gm18443-101618
ENSMUSG00000099458,Gm19123,2,651,Gm19123-99458
ENSMUSG00000088111,Gm24064,3,106,Gm24064-88111
ENSMUSG00000073722,Spata31e2,4,4318,Spata31e2-73722
ENSMUSG00000119695,n-R5s209,1,119,n-R5s209-119695
ENSMUSG00000100310,Gm19641,2,417,Gm19641-100310
ENSMUSG00000101514,Gm5524,3,2496,Gm5524-101514
ENSMUSG00000101033,Gm18776,2,654,Gm18776-101033
ENSMUSG00000101372,Gm19028,2,1873,Gm19028-101372
ENSMUSG00000103241,Gm38089,2,1514,Gm38089-103241
ENSMUSG00000086240,Gm7846,5,274,Gm7846-86240
ENSMUSG00000048411,Spata31e5,5,2887,Spata31e5-48411
ENSMUSG00000081557,Gm5697,3,2482,Gm5697-81557
ENSMUSG00000058590,Gm6462,3,304,Gm6462-58590
ENSMUSG00000101235,Gm18033,2,550,Gm18033-101235
ENSMUSG00002075209,Gm55767,1,112,Gm55767-2075209
ENSMUSG00002076857,Gm55769,1,100,Gm55769-2076857
ENSMUSG00002074912,Gm55770,1,96,Gm55770-2074912
ENSMUSG00000099257,Mir6342,3,125,Mir6342-99257
ENSMUSG00000099492,Gm5525,2,1312,Gm5525-99492
ENSMUSG00000118548,Gm53035,2,1285,Gm53035-118548
ENSMUSG00000101726,Gm7858,2,622,Gm7858-101726
ENSMUSG00002075317,Gm55771,1,110,Gm55771-2075317
ENSMUSG00002075289,Gm55772,1,107,Gm55772-2075289
ENSMUSG00000053185,Gm9898,3,1161,Gm9898-53185
ENSMUSG00000100261,Gm6473,2,1210,Gm6473-100261
ENSMUSG00000101180,Gm2914,2,328,Gm2914-101180
ENSMUSG00000048874,Phf3,16,14190,Phf3-48874
ENSMUSG00000103783,Gm37522,2,2884,Gm37522-103783
ENSMUSG00000104315,Gm37906,2,3035,Gm37906-104315
ENSMUSG00000026064,Ptp4a1,17,5541,Ptp4a1-26064
ENSMUSG00000117310,Ptp4a1,3,4145,Ptp4a1-117310
ENSMUSG00000117091,Alyreffm3,2,726,Alyreffm3-117091
ENSMUSG00000086726,Gm9458,4,729,Gm9458-86726
ENSMUSG00000086727,Alyreffm1,10,4812,Alyreffm1-86727
ENSMUSG00000100237,Gm28644,2,585,Gm28644-100237
ENSMUSG00002076113,Gm55778,1,138,Gm55778-2076113
ENSMUSG00000100910,Gm29128,2,2858,Gm29128-100910
ENSMUSG00000099796,Gm7893,2,225,Gm7893-99796
ENSMUSG00000050217,Lgsn,14,1937,Lgsn-50217
ENSMUSG00000026063,Dnaaf6rt,5,1451,Dnaaf6rt-26063
ENSMUSG00000077664,Gm26145,3,127,Gm26145-77664
ENSMUSG00000100205,Gm4850,2,559,Gm4850-100205
ENSMUSG00000100592,Gm28645,2,564,Gm28645-100592
ENSMUSG00000094215,Alyreffm2,4,762,Alyreffm2-94215
ENSMUSG00000101093,Eef1a1-ps2,2,1337,Eef1a1-ps2-101093
ENSMUSG00000070960,Gm19680,5,1513,Gm19680-70960
ENSMUSG00000088620,Gm23032,3,107,Gm23032-88620
ENSMUSG00000082159,Gm7910,3,835,Gm7910-82159
ENSMUSG00000026058,Khdrbs2,12,10291,Khdrbs2-26058
ENSMUSG00000064688,Gm25814,3,107,Gm25814-64688
ENSMUSG00000103482,Gm37999,2,1809,Gm37999-103482
ENSMUSG00000104498,Gm37110,2,1628,Gm37110-104498
ENSMUSG00000104313,Gm37911,2,1545,Gm37911-104313
ENSMUSG00000102865,Gm9839,2,1437,Gm9839-102865
ENSMUSG00000102321,Gm37792,2,3413,Gm37792-102321
ENSMUSG00000091318,Semp2l1,3,3609,Semp2l1-91318
ENSMUSG00000089489,Gm24732,3,63,Gm24732-89489
ENSMUSG00000104433,Gm37426,2,2470,Gm37426-104433
ENSMUSG00002076392,Gm55794,1,292,Gm55794-2076392
ENSMUSG00000102926,Gm37151,2,5007,Gm37151-102926
ENSMUSG00000100497,Gm28624,2,2131,Gm28624-100497
ENSMUSG00000102917,Gm37724,2,1221,Gm37724-102917
ENSMUSG00000100481,Gm7114,2,1789,Gm7114-100481
ENSMUSG00000100590,Gm4785,2,751,Gm4785-100590
ENSMUSG00000088750,Gm24901,3,110,Gm24901-88750
