ENSEMBL_gene,HGNC_symbol,a,b,HGNC_symbol_unique
ENSG00000265392,MIR4252,1,63,MIR4252-265392
ENSG00000231868,ENSG00000231868.1,1,351,ENSG00000231868.1-231868
ENSG00000215788,TNFRSF25,11,4263,TNFRSF25-215788
ENSG00000171680,PLEKHG5,23,6935,PLEKHG5-171680
ENSG00000162408,NOL9,11,7271,NOL9-162408
ENSG00000253022,RNU6-731P,1,111,RNU6-731P-253022
ENSG00000229519,ENSG00000229519.2,2,401,ENSG00000229519.2-229519
ENSG00000173662,TAS1R1,21,2764,TAS1R1-173662
ENSG00000204859,ZBTB48,13,4510,ZBTB48-204859
ENSG00000162413,KLHL21,17,6670,KLHL21-162413
ENSG00000116273,PHF13,6,3632,PHF13-116273
ENSG00000041988,THAP3,16,4067,THAP3-41988
ENSG00000007923,DNAJC11,17,12182,DNAJC11-7923
ENSG00000228750,LINC01672,7,2188,LINC01672-228750
ENSG00000284744,ENSG00000284744.1,1,987,ENSG00000284744.1-284744
ENSG00000237436,CAMTA1-DT,1,415,CAMTA1-DT-237436
ENSG00000171735,CAMTA1,21,15672,CAMTA1-171735
ENSG00000227950,ENSG00000227950.1,1,286,ENSG00000227950.1-227950
ENSG00000237365,CAMTA1-AS3,1,349,CAMTA1-AS3-237365
ENSG00000207056,RNU1-8P,1,165,RNU1-8P-207056
ENSG00000237402,CAMTA1-IT1,1,365,CAMTA1-IT1-237402
ENSG00000237728,CAMTA1-AS2,2,744,CAMTA1-AS2-237728
ENSG00000225126,CAMTA1-AS1,1,361,CAMTA1-AS1-225126
ENSG00000270171,ENSG00000270171.1,1,1721,ENSG00000270171.1-270171
ENSG00000270035,ENSG00000270035.1,1,570,ENSG00000270035.1-270035
ENSG00000269978,ENSG00000269978.1,1,267,ENSG00000269978.1-269978
ENSG00000049245,VAMP3,13,2733,VAMP3-49245
ENSG00000269925,ENSG00000269925.1,1,393,ENSG00000269925.1-269925
ENSG00000049246,PER3,15,8128,PER3-49246
ENSG00000236266,ENSG00000236266.1,1,830,ENSG00000236266.1-236266
ENSG00000049247,UTS2,14,1793,UTS2-49247
ENSG00000049249,TNFRSF9,10,6354,TNFRSF9-49249
ENSG00000270330,ENSG00000270330.1,1,355,ENSG00000270330.1-270330
ENSG00000116288,PARK7,13,2397,PARK7-116288
ENSG00000200344,Y_RNA,1,103,Y_RNA-200344
ENSG00000284747,ENSG00000284747.1,1,4116,ENSG00000284747.1-284747
ENSG00000284716,ENSG00000284716.1,1,1043,ENSG00000284716.1-284716
ENSG00000116285,ERRFI1,13,4179,ERRFI1-116285
ENSG00000238290,ERRFI1-DT,1,2044,ERRFI1-DT-238290
ENSG00000232848,RPL7AP18,1,800,RPL7AP18-232848
ENSG00000229305,ENSG00000229305.1,1,1075,ENSG00000229305.1-229305
ENSG00000288816,ENSG00000288816.1,1,1002,ENSG00000288816.1-288816
ENSG00000227634,LINC01714,3,1001,LINC01714-227634
ENSG00000200975,RNU1-7P,1,164,RNU1-7P-200975
ENSG00000233645,ENSG00000233645.1,1,477,ENSG00000233645.1-233645
ENSG00000251977,RNU6-991P,1,107,RNU6-991P-251977
ENSG00000162426,SLC45A1,16,2600,SLC45A1-162426
ENSG00000252254,Y_RNA,1,113,Y_RNA-252254
ENSG00000142599,RERE,20,14288,RERE-142599
ENSG00000232912,RERE-AS1,6,1178,RERE-AS1-232912
ENSG00000221083,ENSG00000221083.1,1,125,ENSG00000221083.1-221083
ENSG00000270282,ENSG00000270282.1,1,369,ENSG00000270282.1-270282
ENSG00000234619,RPL7P11,1,658,RPL7P11-234619
ENSG00000224315,RPL7P7,2,703,RPL7P7-224315
ENSG00000222511,Y_RNA,2,103,Y_RNA-222511
ENSG00000226545,ENSG00000226545.1,1,415,ENSG00000226545.1-226545
ENSG00000228423,ENSG00000228423.2,2,353,ENSG00000228423.2-228423
ENSG00000229716,RPL23AP19,2,369,RPL23AP19-229716
ENSG00000074800,ENO1,16,5216,ENO1-74800
ENSG00000274258,MIR6728,1,89,MIR6728-274258
ENSG00000230679,ENO1-AS1,1,456,ENO1-AS1-230679
ENSG00000201725,RNU6-304P,1,107,RNU6-304P-201725
ENSG00000238249,HMGN2P17,2,743,HMGN2P17-238249
ENSG00000232208,ENSG00000232208.2,2,352,ENSG00000232208.2-232208
ENSG00000232663,ENSG00000232663.2,2,163,ENSG00000232663.2-232663
ENSG00000131686,CA6,15,2662,CA6-131686
ENSG00000290109,ENSG00000290109.1,1,755,ENSG00000290109.1-290109
ENSG00000265141,RN7SL451P,2,299,RN7SL451P-265141
ENSG00000197241,SLC2A7,4,1944,SLC2A7-197241
ENSG00000142583,SLC2A5,18,6632,SLC2A5-142583
ENSG00000252404,ENSG00000252404.1,1,184,ENSG00000252404.1-252404
ENSG00000180758,GPR157,12,5304,GPR157-180758
ENSG00000228526,MIR34AHG,8,8705,MIR34AHG-228526
ENSG00000284357,MIR34A,1,110,MIR34A-284357
ENSG00000289914,ENSG00000289914.1,1,624,ENSG00000289914.1-289914
ENSG00000234546,LNCTAM34A,5,2145,LNCTAM34A-234546
ENSG00000049239,H6PD,13,9322,H6PD-49239
ENSG00000171621,SPSB1,14,3389,SPSB1-171621
ENSG00000284652,ENSG00000284652.1,1,1765,ENSG00000284652.1-284652
ENSG00000284693,LINC02606,2,3456,LINC02606-284693
ENSG00000252956,RNA5SP40,1,110,RNA5SP40-252956
ENSG00000235263,ENSG00000235263.1,1,708,ENSG00000235263.1-235263
ENSG00000171612,SLC25A33,7,3865,SLC25A33-171612
ENSG00000231181,ENSG00000231181.1,1,559,ENSG00000231181.1-231181
ENSG00000188807,TMEM201,13,6981,TMEM201-188807
ENSG00000171608,PIK3CD,18,9567,PIK3CD-171608
ENSG00000179840,PIK3CD-AS1,5,1823,PIK3CD-AS1-179840
ENSG00000233268,ENSG00000233268.3,3,421,ENSG00000233268.3-233268
ENSG00000231789,PIK3CD-AS2,4,988,PIK3CD-AS2-231789
ENSG00000171603,CLSTN1,18,5241,CLSTN1-171603
ENSG00000271264,MZT1P1,1,246,MZT1P1-271264
ENSG00000280113,ENSG00000280113.2,2,1983,ENSG00000280113.2-280113
ENSG00000178585,CTNNBIP1,15,3339,CTNNBIP1-178585
ENSG00000223989,ENSG00000223989.1,1,424,ENSG00000223989.1-223989
ENSG00000285701,ENSG00000285701.1,1,762,ENSG00000285701.1-285701
ENSG00000162441,LZIC,12,5459,LZIC-162441
ENSG00000228150,ENSG00000228150.1,1,440,ENSG00000228150.1-228150
ENSG00000173614,NMNAT1,14,4610,NMNAT1-173614
ENSG00000202415,RN7SKP269,1,319,RN7SKP269-202415
ENSG00000283611,TMEM274P,2,444,TMEM274P-283611
ENSG00000265521,MIR5697,1,78,MIR5697-265521
ENSG00000241326,ENSG00000241326.1,1,436,ENSG00000241326.1-241326
ENSG00000162444,RBP7,12,862,RBP7-162444
ENSG00000130939,UBE4B,20,9237,UBE4B-130939
ENSG00000224340,RPL21P21,1,337,RPL21P21-224340
ENSG00000233623,PGAM1P11,2,680,PGAM1P11-233623
ENSG00000201746,RNU6-828P,1,107,RNU6-828P-201746
ENSG00000054523,KIF1B,20,18915,KIF1B-54523
ENSG00000264881,ENSG00000264881.1,1,86,ENSG00000264881.1-264881
ENSG00000199562,RNU6-37P,1,107,RNU6-37P-199562
ENSG00000264501,RN7SL731P,2,293,RN7SL731P-264501
ENSG00000284735,ENSG00000284735.1,1,2381,ENSG00000284735.1-284735
ENSG00000284642,ENSG00000284642.1,1,1477,ENSG00000284642.1-284642
ENSG00000142657,PGD,21,3333,PGD-142657
ENSG00000271989,ENSG00000271989.1,1,797,ENSG00000271989.1-271989
ENSG00000251503,CENPS-CORT,8,2244,CENPS-CORT-251503
ENSG00000175279,CENPS,22,1748,CENPS-175279
ENSG00000241563,CORT,4,914,CORT-241563
ENSG00000160049,DFFA,12,6625,DFFA-160049
ENSG00000203469,ENSG00000203469.2,2,467,ENSG00000203469.2-203469
ENSG00000142655,PEX14,13,2932,PEX14-142655
ENSG00000287727,ENSG00000287727.1,1,2876,ENSG00000287727.1-287727
ENSG00000243267,RN7SL614P,3,280,RN7SL614P-243267
ENSG00000130940,CASZ1,15,11336,CASZ1-130940
ENSG00000272078,ENSG00000272078.1,1,7923,ENSG00000272078.1-272078
ENSG00000225158,HSPE1P24,2,238,HSPE1P24-225158
ENSG00000175262,C1orf127,15,3612,C1orf127-175262
ENSG00000215785,CFL1P6,2,494,CFL1P6-215785
ENSG00000120948,TARDBP,19,6187,TARDBP-120948
ENSG00000009724,MASP2,18,5113,MASP2-9724
ENSG00000116649,SRM,10,1894,SRM-116649
ENSG00000171824,EXOSC10,14,5991,EXOSC10-171824
ENSG00000226849,ENSG00000226849.1,1,2682,ENSG00000226849.1-226849
ENSG00000230337,EXOSC10-AS1,3,786,EXOSC10-AS1-230337
ENSG00000198793,MTOR,14,13373,MTOR-198793
ENSG00000225602,MTOR-AS1,5,763,MTOR-AS1-225602
ENSG00000253086,RNU6-537P,1,103,RNU6-537P-253086
ENSG00000171819,ANGPTL7,5,2224,ANGPTL7-171819
ENSG00000207451,RNU6-291P,1,107,RNU6-291P-207451
ENSG00000238173,RPL39P6,1,150,RPL39P6-238173
ENSG00000120942,UBIAD1,14,5090,UBIAD1-120942
ENSG00000238199,UBE2V2P3,1,437,UBE2V2P3-238199
ENSG00000284646,ENSG00000284646.1,1,742,ENSG00000284646.1-284646
ENSG00000224338,MTCYBP45,2,565,MTCYBP45-224338
ENSG00000204624,DISP3,8,6120,DISP3-204624
ENSG00000285833,ENSG00000285833.1,1,1051,ENSG00000285833.1-285833
ENSG00000235643,LINC01647,2,1351,LINC01647-235643
ENSG00000284708,ENSG00000284708.1,1,2094,ENSG00000284708.1-284708
ENSG00000116661,FBXO2,11,3163,FBXO2-116661
ENSG00000132879,FBXO44,14,3527,FBXO44-132879
ENSG00000116670,MAD2L2,16,5431,MAD2L2-116670
ENSG00000116663,FBXO6,11,1735,FBXO6-116663
ENSG00000162490,DRAXIN,7,7365,DRAXIN-162490
ENSG00000177674,AGTRAP,16,2435,AGTRAP-177674
ENSG00000215910,C1orf167,8,6695,C1orf167-215910
ENSG00000177553,C1orf167-AS1,6,1868,C1orf167-AS1-177553
ENSG00000177000,MTHFR,13,11513,MTHFR-177000
ENSG00000011021,CLCN6,23,8173,CLCN6-11021
ENSG00000276470,ENSG00000276470.1,1,173,ENSG00000276470.1-276470
ENSG00000278852,ENSG00000278852.1,1,149,ENSG00000278852.1-278852
ENSG00000175206,NPPA,11,1120,NPPA-175206
ENSG00000275915,ENSG00000275915.1,1,108,ENSG00000275915.1-275915
ENSG00000120937,NPPB,9,708,NPPB-120937
ENSG00000224904,SBF1P2,1,2637,SBF1P2-224904
ENSG00000285646,ENSG00000285646.2,2,3071,ENSG00000285646.2-285646
ENSG00000199347,RNU5E-1,1,120,RNU5E-1-199347
